iteration,best_makespan,global_best_makespan,chaos_score,pheromone_entropy,pheromone_sum,alpha,beta,rho,stagnation
0,63,78,0.9946000429238203,7.194422360088437,523.920456890907,3.281149619817734,4.372043454647065,0.21552660465240478,0
1,62,63,0.9877419050941029,7.194362807164348,412.4451218059288,3.281149619817734,4.372043454647065,0.21552660465240478,0
2,60,62,0.9794125537223672,7.194230024707117,324.957673678514,3.281149619817734,4.372043454647065,0.21552660465240478,0
3,60,60,0.96864381080226,7.19396328894522,256.3145670168487,3.281149619817734,4.372043454647065,0.21552660465240478,0
4,62,60,0.9543872219227839,7.193451659675793,202.5063601111467,3.281149619817734,4.372043454647065,0.21552660465240478,0
5,64,60,0.9351355474807853,7.192486812915146,160.34276956882192,3.281149619817734,4.372043454647065,0.21552660465240478,0
6,62,60,0.9110226235527903,7.190860860811508,127.22012906453539,3.281149619817734,4.372043454647065,0.21552660465240478,0
7,61,60,0.8806452574193765,7.188194316051446,101.22397530394176,3.281149619817734,4.372043454647065,0.21552660465240478,0
8,61,60,0.8405636951227191,7.183704424151129,80.82415356098136,3.281149619817734,4.372043454647065,0.21552660465240478,0
9,64,60,0.7864424329425226,7.175986742777372,64.87126366890459,3.281149619817734,4.372043454647065,0.21552660465240478,0
10,62,60,0.7190589805100118,7.163921578437147,52.28486128540216,3.281149619817734,4.372043454647065,0.21552660465240478,0
11,63,60,0.6329328651648368,7.144554541413882,42.404558447050725,3.281149619817734,4.372043454647065,0.21552660465240478,0
12,66,60,0.5237063311295003,7.11299055570125,34.720628413086544,3.281149619817734,4.372043454647065,0.21552660465240478,0
13,65,60,0.40708263051671756,7.067684573277905,28.650686638567244,3.281149619817734,4.372043454647065,0.21552660465240478,0
14,65,60,0.2944905997325853,7.005439056120686,23.859664624553453,3.281149619817734,4.372043454647065,0.21552660465240478,0
15,69,60,0.19270843784599467,6.918314145968276,20.162826470590886,3.281149619817734,4.372043454647065,0.21552660465240478,0
16,73,60,0.14939416509241787,6.872227715870351,18.98579007988643,3.281149619817734,4.372043454647065,0.21552660465240478,0
17,74,60,0.12651774983765351,6.842185914469432,18.69665142967158,3.281149619817734,4.372043454647065,0.21552660465240478,0
18,65,60,0.11739992975993774,6.829234963591028,18.483475954537255,3.281149619817734,4.372043454647065,0.21552660465240478,0
19,77,60,0.10169470572875983,6.798732819702946,18.59550624273426,3.281149619817734,4.372043454647065,0.21552660465240478,0
20,76,60,0.08996356568721964,6.771410925192015,18.715796842061273,3.281149619817734,4.372043454647065,0.21552660465240478,0
21,77,60,0.07965317654534232,6.743200700401073,18.87600259935329,3.281149619817734,4.372043454647065,0.21552660465240478,0
22,77,60,0.07127336950446506,6.716781335171574,19.024874672604582,3.281149619817734,4.372043454647065,0.21552660465240478,0
23,84,60,0.06061589461059502,6.677809120710112,19.317540663105113,3.281149619817734,4.372043454647065,0.21552660465240478,0
24,83,60,0.053026464898420556,6.645552948459144,19.5546386688978,3.281149619817734,4.372043454647065,0.21552660465240478,0
25,86,60,0.04599999374981878,6.611216164484712,19.84795332332817,3.281149619817734,4.372043454647065,0.21552660465240478,0
26,87,60,0.0399153360310367,6.577419036535066,20.1349139757161,3.281149619817734,4.372043454647065,0.21552660465240478,0
27,86,60,0.03561069072453016,6.550431936877397,20.351346428779678,3.281149619817734,4.372043454647065,0.21552660465240478,0
28,87,60,0.0321009810214099,6.525902326219141,20.544479330048613,3.281149619817734,4.372043454647065,0.21552660465240478,0
29,87,60,0.029360351318283406,6.504700328883621,20.70710155583779,3.281149619817734,4.372043454647065,0.21552660465240478,0
30,87,60,0.027380622968495638,6.487916630241532,20.834354748980296,3.281149619817734,4.372043454647065,0.21552660465240478,0
31,87,60,0.025831166625495783,6.473640199170786,20.94199192196457,3.281149619817734,4.372043454647065,0.21552660465240478,0
32,87,60,0.024630931372167986,6.461745592583892,21.030513855498747,3.281149619817734,4.372043454647065,0.21552660465240478,0
33,87,60,0.023760680054284666,6.452577421330337,21.101319852892722,3.281149619817734,4.372043454647065,0.21552660465240478,0
34,87,60,0.02314255090793993,6.4457694056000125,21.16712210568625,3.281149619817734,4.372043454647065,0.21552660465240478,0
35,87,60,0.022688674422903232,6.440636632850715,21.221060909163466,3.281149619817734,4.372043454647065,0.21552660465240478,0
36,87,60,0.022329616716989853,6.436497793201413,21.264533556377312,3.281149619817734,4.372043454647065,0.21552660465240478,0
37,87,60,0.022048962523171345,6.433213916585187,21.301207152309768,3.281149619817734,4.372043454647065,0.21552660465240478,0
38,84,60,0.022362114135308198,6.436833410966951,21.26098957882865,3.281149619817734,4.372043454647065,0.21552660465240478,0
39,87,60,0.022094084352711096,6.433716367481786,21.29572987002362,3.281149619817734,4.372043454647065,0.21552660465240478,0
40,86,60,0.022083366432092966,6.4335864026485154,21.297201751421248,3.281149619817734,4.372043454647065,0.21552660465240478,0
41,87,60,0.02187445862546822,6.431131628264168,21.324585954141092,3.281149619817734,4.372043454647065,0.21552660465240478,0
42,87,60,0.021695358912934948,6.429007033874727,21.348318132627618,3.281149619817734,4.372043454647065,0.21552660465240478,0
43,87,60,0.021582353732154003,6.4276562990113,21.363423713020943,3.281149619817734,4.372043454647065,0.21552660465240478,0
44,87,60,0.02146803681426046,6.4262832683416775,21.378785321203782,3.281149619817734,4.372043454647065,0.21552660465240478,0
45,83,60,0.022088162023355284,6.433629948010926,21.29677739186578,3.281149619817734,4.372043454647065,0.21552660465240478,0
46,87,60,0.021868521370492555,6.4310531342331885,21.325503055359768,3.281149619817734,4.372043454647065,0.21552660465240478,0
47,87,60,0.02169061908855552,6.428945063503268,21.349037574134506,3.281149619817734,4.372043454647065,0.21552660465240478,0
48,87,60,0.021584332118736116,6.427676660314225,21.363212277985596,3.281149619817734,4.372043454647065,0.21552660465240478,0
49,87,60,0.021489888083667252,6.426544571328157,21.37586945604371,3.281149619817734,4.372043454647065,0.21552660465240478,0
50,87,60,0.024840490557794692,6.463707054904319,20.964895980834683,3.197924876213074,1.6080518931150438,0.26586634635925294,0
51,87,60,0.027725131383045,6.491530718341783,20.663186521930044,3.197924876213074,1.6080518931150438,0.26586634635925294,0
52,87,60,0.030112711693293326,6.512250018802343,20.441691454526413,3.197924876213074,1.6080518931150438,0.26586634635925294,0
53,87,60,0.03210693523207786,6.5282142790275035,20.27281106570185,3.197924876213074,1.6080518931150438,0.26586634635925294,0
54,87,60,0.03365202005249324,6.539848611707145,20.15068864601024,3.197924876213074,1.6080518931150438,0.26586634635925294,0
55,87,60,0.034800136645938395,6.548118536878285,20.064358607303376,3.197924876213074,1.6080518931150438,0.26586634635925294,0
56,87,60,0.03572519981231326,6.554565587426497,19.997328872516608,3.197924876213074,1.6080518931150438,0.26586634635925294,0
57,87,60,0.03638770906972566,6.559071208370126,19.95062022711128,3.197924876213074,1.6080518931150438,0.26586634635925294,0
58,87,60,0.03691951489761791,6.562623043624265,19.913878439402808,3.197924876213074,1.6080518931150438,0.26586634635925294,0
59,87,60,0.03728051936439003,6.565002124715694,19.889307118123384,3.197924876213074,1.6080518931150438,0.26586634635925294,0
60,87,60,0.03754839162627621,6.566749514966989,19.871287344456213,3.197924876213074,1.6080518931150438,0.26586634635925294,0
61,87,60,0.03771215037136444,6.5678121487072545,19.860331618052445,3.197924876213074,1.6080518931150438,0.26586634635925294,0
62,87,60,0.0378961761726897,6.56900056659502,19.84808476710421,3.197924876213074,1.6080518931150438,0.26586634635925294,0
63,87,60,0.037968457105753806,6.569465391073155,19.843297825167134,3.197924876213074,1.6080518931150438,0.26586634635925294,0
64,87,60,0.03805734140729111,6.570035890822684,19.83742304367732,3.197924876213074,1.6080518931150438,0.26586634635925294,0
65,87,60,0.03815683455605268,6.570670963120097,19.830893990648192,3.197924876213074,1.6080518931150438,0.26586634635925294,0
66,87,60,0.038160065049118175,6.5706918741378235,19.83067749763856,3.197924876213074,1.6080518931150438,0.26586634635925294,0
67,87,60,0.03820081232833905,6.57095224733944,19.827997286238663,3.197924876213074,1.6080518931150438,0.26586634635925294,0
68,83,60,0.03955803893580101,6.5794466835995475,19.740793886687023,3.197924876213074,1.6080518931150438,0.26586634635925294,0
69,87,60,0.03928875685478361,6.577786438910775,19.757810900243143,3.197924876213074,1.6080518931150438,0.26586634635925294,0
70,87,60,0.03903902990578034,6.576235802435611,19.773716330245193,3.197924876213074,1.6080518931150438,0.26586634635925294,0
71,83,60,0.040203061834591214,6.5833717589021035,19.70062902618608,3.197924876213074,1.6080518931150438,0.26586634635925294,0
72,87,60,0.03971317248338124,6.58039684225483,19.731064834105837,3.197924876213074,1.6080518931150438,0.26586634635925294,0
73,87,60,0.039333928848053756,6.578066524031713,19.7549356707111,3.197924876213074,1.6080518931150438,0.26586634635925294,0
74,87,60,0.03907028186245254,6.576431671119977,19.771700635946434,3.197924876213074,1.6080518931150438,0.26586634635925294,0
75,87,60,0.038828122353622097,6.57491934609128,19.787221663880104,3.197924876213074,1.6080518931150438,0.26586634635925294,0
76,87,60,0.03868589839387704,6.574026648902989,19.796387399240402,3.197924876213074,1.6080518931150438,0.26586634635925294,0
77,87,60,0.03863072417610869,6.573678471247227,19.79996776500498,3.197924876213074,1.6080518931150438,0.26586634635925294,0
78,87,60,0.038612647389896226,6.573564775113476,19.80113464524298,3.197924876213074,1.6080518931150438,0.26586634635925294,0
79,85,60,0.03944051000184745,6.578725708941626,19.748171493547254,3.197924876213074,1.6080518931150438,0.26586634635925294,0
80,82,60,0.040808919114564524,6.586996779803704,19.66360177051484,3.197924876213074,1.6080518931150438,0.26586634635925294,0
81,87,60,0.04015269698881674,6.583067967702574,19.703733860967603,3.197924876213074,1.6080518931150438,0.26586634635925294,0
82,87,60,0.039644763406980976,6.5799788976349385,19.735341096070975,3.197924876213074,1.6080518931150438,0.26586634635925294,0
83,87,60,0.03938085525315671,6.5783561085227005,19.751968175401025,3.197924876213074,1.6080518931150438,0.26586634635925294,0
84,83,60,0.04058378622271108,6.585654239461496,19.677318910491085,3.197924876213074,1.6080518931150438,0.26586634635925294,0
85,87,60,0.03992408004644954,6.581680714562969,19.71793286293465,3.197924876213074,1.6080518931150438,0.26586634635925294,0
86,85,60,0.04040143808587804,6.584564884792222,19.688436287511376,3.197924876213074,1.6080518931150438,0.26586634635925294,0
87,87,60,0.03979286702363927,6.580882729507872,19.726094503545458,3.197924876213074,1.6080518931150438,0.26586634635925294,0
88,87,60,0.03946428148598746,6.5788686255071145,19.746723959688957,3.197924876213074,1.6080518931150438,0.26586634635925294,0
89,87,60,0.039126575239935235,6.576780031626627,19.7681354452834,3.197924876213074,1.6080518931150438,0.26586634635925294,0
90,87,60,0.038876983598049586,6.575223740953487,19.784104337432726,3.197924876213074,1.6080518931150438,0.26586634635925294,0
91,87,60,0.038818867502510845,6.5748608891791385,19.787824001117976,3.197924876213074,1.6080518931150438,0.26586634635925294,0
92,87,60,0.03870945948032578,6.5741730900166,19.794891702195805,3.197924876213074,1.6080518931150438,0.26586634635925294,0
93,87,60,0.038564877958608634,6.573262355709377,19.80424700607758,3.197924876213074,1.6080518931150438,0.26586634635925294,0
94,87,60,0.03845913341139606,6.572593980549224,19.81111504949723,3.197924876213074,1.6080518931150438,0.26586634635925294,0
95,87,60,0.03848548869217516,6.572761313763421,19.809392629733345,3.197924876213074,1.6080518931150438,0.26586634635925294,0
96,87,60,0.03847967025828769,6.5727242621282755,19.80977456788103,3.197924876213074,1.6080518931150438,0.26586634635925294,0
97,87,60,0.038437201870994975,6.572454983079969,19.81254423076093,3.197924876213074,1.6080518931150438,0.26586634635925294,0
98,87,60,0.03849576434011459,6.572824662987966,19.8087495544518,3.197924876213074,1.6080518931150438,0.26586634635925294,0
99,87,60,0.038522851246492684,6.572995098295008,19.80700199500017,3.197924876213074,1.6080518931150438,0.26586634635925294,0
100,85,60,0.03512875262843951,6.550434052814052,20.04023817635607,2.4788698673248293,2.657697850465775,0.22022499084472658,1
101,84,60,0.03296747909712927,6.534786749863107,20.203634416432486,2.4788698673248293,2.657697850465775,0.22022499084472658,1
102,77,60,0.03296000289988843,6.534738580464767,20.204100874779705,2.4788698673248293,2.657697850465775,0.22022499084472658,1
103,86,60,0.030984530002090782,6.519414653331142,20.365483589521144,2.4788698673248293,2.657697850465775,0.22022499084472658,1
104,80,60,0.03068161059263974,6.516971405339991,20.3913362366036,2.4788698673248293,2.657697850465775,0.22022499084472658,1
105,77,60,0.031139698838852148,6.520658456929849,20.3523244041789,2.4788698673248293,2.657697850465775,0.22022499084472658,1
106,77,60,0.03160170437176402,6.524329048652726,20.313508456796438,2.4788698673248293,2.657697850465775,0.22022499084472658,1
107,83,60,0.030434718334518496,6.514953639454828,20.412746557053588,2.4788698673248293,2.657697850465775,0.22022499084472658,1
108,77,60,0.03111840203509242,6.520508288547012,20.35381410813733,2.4788698673248293,2.657697850465775,0.22022499084472658,1
109,86,60,0.02936666704681734,6.506041210128796,20.507468810089897,2.4788698673248293,2.657697850465775,0.22022499084472658,1
110,79,60,0.02967128999474533,6.508621518388295,20.479983410340097,2.4788698673248293,2.657697850465775,0.22022499084472658,1
111,73,60,0.03134512891115071,6.522304973268993,20.33486867626751,2.4788698673248293,2.657697850465775,0.22022499084472658,1
112,87,60,0.029345519240428275,6.505839913742404,20.50971831667059,2.4788698673248293,2.657697850465775,0.22022499084472658,1
113,76,60,0.03044434394670581,6.515034798362819,20.41187472132991,2.4788698673248293,2.657697850465775,0.22022499084472658,1
114,82,60,0.029701249990491285,6.5088477533485465,20.477702854841887,2.4788698673248293,2.657697850465775,0.22022499084472658,1
115,80,60,0.029717223999138898,6.508983508603654,20.476250922488113,2.4788698673248293,2.657697850465775,0.22022499084472658,1
116,77,60,0.03042660179460477,6.514875966314281,20.413625037279648,2.4788698673248293,2.657697850465775,0.22022499084472658,1
117,77,60,0.031021057681839825,6.519700368592673,20.36249760149326,2.4788698673248293,2.657697850465775,0.22022499084472658,1
118,78,60,0.0312567674858788,6.52159254965874,20.34244706930128,2.4788698673248293,2.657697850465775,0.22022499084472658,1
119,82,60,0.030531419812830363,6.515744129286298,20.404365605543482,2.4788698673248293,2.657697850465775,0.22022499084472658,1
120,84,60,0.02955585492554591,6.507637580590398,20.49050691426947,2.4788698673248293,2.657697850465775,0.22022499084472658,1
121,86,60,0.028305778967572803,6.496794877587639,20.606417746800886,2.4788698673248293,2.657697850465775,0.22022499084472658,1
122,84,60,0.02780734736895496,6.492318447852998,20.654510670079187,2.4788698673248293,2.657697850465775,0.22022499084472658,1
123,86,60,0.026927170116916144,6.484199717386247,20.74202742115758,2.4788698673248293,2.657697850465775,0.22022499084472658,1
124,84,60,0.02670898090289875,6.482144137294529,20.76424117469627,2.4788698673248293,2.657697850465775,0.22022499084472658,1
125,84,60,0.026397362771113708,6.4791639629874185,20.79655441053326,2.4788698673248293,2.657697850465775,0.22022499084472658,1
126,73,60,0.028484091305630788,6.4983483055837885,20.589888909566177,2.4788698673248293,2.657697850465775,0.22022499084472658,1
127,77,60,0.029373802167242058,6.506067419170076,20.50735875200221,2.4788698673248293,2.657697850465775,0.22022499084472658,1
128,86,60,0.028100924046547182,6.4949476164426425,20.626336678345744,2.4788698673248293,2.657697850465775,0.22022499084472658,1
129,86,60,0.02729846045299278,6.487665885338403,20.704581762312444,2.4788698673248293,2.657697850465775,0.22022499084472658,1
130,77,60,0.02832762297073199,6.496978546247162,20.604498400911446,2.4788698673248293,2.657697850465775,0.22022499084472658,1
131,86,60,0.02728727300928402,6.487555036546038,20.705813266148386,2.4788698673248293,2.657697850465775,0.22022499084472658,1
132,77,60,0.02827736359511923,6.496522925699992,20.609429100431672,2.4788698673248293,2.657697850465775,0.22022499084472658,1
133,87,60,0.026985579759647327,6.484733472646716,20.736329580516546,2.4788698673248293,2.657697850465775,0.22022499084472658,1
